timestamp,pkt_len,cur_hub,cur_port,path,priority,flow_id,etime
286.6675773948796,181.45090052297573,9,0,27_0-11_1-9_0,0,0,286.8394903266416
286.7179351250095,34.56143341613088,1,2,25_0-10_0-8_3-1_2,0,3,286.8400271572359
286.7318377257419,34.56143341613088,1,2,25_0-10_0-8_3-1_2,0,3,286.85392975796833
286.7607539690286,32.66282903527244,24,0,24_0,0,2,286.76884604231526
286.76884604231526,27.178311907909567,10,1,24_0-10_1,0,2,286.94193555261563
286.7892160297472,209.40056294385073,9,2,24_0-10_1-9_2,0,1,287.0608195428956
286.79384701384447,250.31503802283504,35,0,35_0,0,4,286.8983648800237
286.8022492368021,181.45090052297573,9,0,27_0-11_1-9_0,0,0,286.97416216856413
286.8261355781006,9.05121256704966,11,1,27_0-11_1,0,0,287.0219348511612
286.8394903266416,164.43376288473286,10,2,27_0-11_1-9_0-10_2,0,0,287.0114032584037
286.8400271572359,189.5183874513639,12,1,25_0-10_0-8_3-1_2-12_1,0,3,286.9621191894623
286.85392975796833,189.5183874513639,12,1,25_0-10_0-8_3-1_2-12_1,0,3,286.97602179019475
286.8983648800237,55.15791263580905,19,0,35_0-19_0,0,4,287.0028827462029
286.9205584707038,32.66282903527244,24,0,24_0,0,2,287.12750284581904
286.93384347932897,197.49152459173834,9,2,24_0-10_1-9_2,0,2,287.2054469924774
286.94193555261563,197.49152459173834,9,2,24_0-10_1-9_2,0,2,287.21353906576405
286.9621191894623,342.2198503471541,15,3,25_0-10_0-8_3-1_2-12_1-15_3,0,3,287.08421122168875
286.97416216856413,164.43376288473286,10,2,27_0-11_1-9_0-10_2,0,0,287.1460751003262
286.97602179019475,342.2198503471541,15,3,25_0-10_0-8_3-1_2-12_1-15_3,0,3,287.09811382242117
287.0028827462029,18.010007008445534,16,2,35_0-19_0-16_2,0,4,287.1074006123821
287.0219348511612,181.45090052297573,9,0,27_0-11_1-9_0,0,0,287.21773412422175
287.0301450826225,32.66282903527244,24,0,24_0,0,2,287.2342172904004
287.0608195428956,141.38589651524157,2,0,24_0-10_1-9_2-2_0,0,1,287.33242305604404
287.1074006123821,281.74969923179,0,2,35_0-19_0-16_2-0_2,0,4,287.2119184785613
287.12750284581904,27.178311907909567,10,1,24_0-10_1,0,2,287.3344472209343
287.2054469924774,74.62898816701289,2,3,24_0-10_1-9_2-2_3,0,2,287.35007444205917
287.2119184785613,250.1128122794673,12,0,35_0-19_0-16_2-0_2-12_0,0,4,287.3164363447405
287.21353906576405,74.62898816701289,2,3,24_0-10_1-9_2-2_3,0,2,287.35816651534583
287.21773412422175,164.43376288473286,10,2,27_0-11_1-9_0-10_2,0,0,287.4135333972823
287.2342172904004,27.178311907909567,10,1,24_0-10_1,0,2,287.44116166551566
287.23785499225306,250.31503802283504,35,0,35_0,0,4,287.24443837460007
287.24443837460007,55.15791263580905,19,0,35_0-19_0,0,4,287.25102175694707
287.25102175694707,18.010007008445534,16,2,35_0-19_0-16_2,0,4,287.25760513929407
287.25760513929407,281.74969923179,0,2,35_0-19_0-16_2-0_2,0,4,287.2641885216411
287.2641885216411,250.1128122794673,12,0,35_0-19_0-16_2-0_2-12_0,0,4,287.3230197270875
287.3164363447405,52.593838364723055,14,2,35_0-19_0-16_2-0_2-12_0-14_2,0,4,287.4209542109197
287.3230197270875,52.593838364723055,14,2,35_0-19_0-16_2-0_2-12_0-14_2,0,4,287.4275375932667
287.33242305604404,164.93275815810773,5,1,24_0-10_1-9_2-2_0-5_1,0,1,287.60402656919246
287.3344472209343,197.49152459173834,9,2,24_0-10_1-9_2,0,2,287.54139159604955
287.35007444205917,84.20008160303827,17,0,24_0-10_1-9_2-2_3-17_0,0,2,287.49470189164094
287.35816651534583,84.20008160303827,17,0,24_0-10_1-9_2-2_3-17_0,0,2,287.5027939649276
