,timestamp,etime,cur_hub,priority
0,0.97641265,-0.07655446,12,0
1,1.4962779,-0.07338094,12,0
2,2.032775,-0.06981316,12,0
3,2.2987986,-0.06667089,12,0
4,2.3775296,-0.06426828,12,0
5,4.531786,-0.0625812,12,0
6,6.8862963,-0.061457872,12,0
7,6.97079,-0.06073359,12,0
8,7.794582,-0.06027415,12,0
9,9.023686,-0.059983652,12,0
10,9.142637,-0.059798606,12,0
11,10.865965,-0.059678867,12,0
12,10.965245,-0.059599865,12,0
13,11.039506,-0.059546653,12,0
14,11.0825,-0.059510183,12,0
15,13.569261,-0.05948486,12,0
16,13.6103735,-0.059467137,12,0
17,14.547954,-0.059454698,12,0
18,14.607752,-0.059445985,12,0
19,15.087763,-0.059439883,12,0
20,15.134972,-0.059435654,12,0
21,16.811108,-0.059432726,12,0
22,16.927835,-0.059430726,12,0
23,17.743519,-0.059429362,12,0
24,18.239557,-0.059428446,12,0
25,18.75773,-0.05942783,12,0
26,18.907455,-0.059427414,12,0
27,20.339273,-0.05942714,12,0
28,20.545214,-0.059426963,12,0
29,21.592924,-0.059426863,12,0
30,21.643084,-0.059426792,12,0
31,22.623926,-0.059426747,12,0
32,22.728083,-0.059426725,12,0
33,23.012964,-0.059426717,12,0
34,24.96303,-0.059426703,12,0
35,24.973642,-0.05942668,12,0
36,25.063168,-0.059426665,12,0
37,26.432259,-0.059426628,12,0
38,27.978596,-0.059426595,12,0
39,29.115068,-0.059426554,12,0
40,30.430664,-0.059426524,12,0
41,32.5563,-0.0594265,12,0
42,32.58271,-0.07657197,12,0
43,32.741344,-0.0734189,12,0
44,32.7463,-0.06986807,12,0
45,32.78041,-0.06673771,12,0
46,33.542324,-0.06434269,12,0
47,33.603058,-0.0626601,12,0
48,34.043888,-0.0615393,12,0
49,34.542027,-0.060816377,12,0
50,34.726673,-0.060357623,12,0
51,35.933792,-0.060067452,12,0
52,36.390392,-0.05988253,12,0
53,36.822514,-0.05976286,12,0
54,37.056107,-0.05968388,12,0
55,37.577335,-0.059630673,12,0
56,37.90333,-0.05959422,12,0
57,38.014156,-0.059568897,12,0
58,38.99727,-0.059551172,12,0
59,39.09696,-0.05953873,12,0
60,40.393604,-0.05953,12,0
61,42.36246,-0.059523888,12,0
62,43.70834,-0.059519634,12,0
63,44.66961,-0.05951669,12,0
64,45.352047,-0.05951467,12,0
65,45.858795,-0.059513293,12,0
66,47.42683,-0.05951237,12,0
67,47.462257,-0.059511747,12,0
68,49.237576,-0.059511337,12,0
69,50.909954,-0.05951106,12,0
70,52.306095,-0.059510864,12,0
71,53.81031,-0.059510723,12,0
72,56.799835,-0.05951062,12,0
73,57.78592,-0.059510518,12,0
74,59.51849,-0.059510432,12,0
75,60.073032,-0.05951036,12,0
76,60.084618,-0.059510283,12,0
77,60.636982,-0.05951021,12,0
78,61.296227,-0.059510138,12,0
79,61.29706,-0.05951006,12,0
80,61.516926,-0.059509996,12,0
81,61.649567,-0.059509948,12,0
82,62.14664,-0.059509933,12,0
83,62.95279,-0.059509948,12,0
84,64.49894,-0.076554805,12,0
85,65.44697,-0.07338357,12,0
86,65.54401,-0.069818944,12,0
87,65.92946,-0.066679604,12,0
88,66.99283,-0.06427926,12,0
89,67.14297,-0.062593706,12,0
90,68.664696,-0.06147134,12,0
91,71.26237,-0.06074759,12,0
92,71.354546,-0.06028841,12,0
93,71.355705,-0.059998017,12,0
94,71.75857,-0.059812985,12,0
95,71.80623,-0.05969325,12,0
96,72.287476,-0.05961423,12,0
97,72.312805,-0.059561,12,0
98,73.12205,-0.059524518,12,0
99,73.83867,-0.05949918,12,0
100,74.84837,-0.059481453,12,0
101,76.38564,-0.059469,12,0
102,76.6969,-0.059460267,12,0
103,78.2366,-0.059454158,12,0
104,78.27081,-0.05944991,12,0
105,78.412926,-0.059446972,12,0
106,80.1481,-0.05944497,12,0
107,82.15942,-0.059443597,12,0
108,82.4563,-0.059442684,12,0
109,82.9365,-0.059442062,12,0
110,83.78213,-0.05944166,12,0
111,84.5727,-0.059441388,12,0
112,85.48032,-0.059441213,12,0
113,87.0726,-0.059441097,12,0
114,88.50236,-0.059441015,12,0
115,88.63904,-0.059440967,12,0
116,89.95558,-0.059440926,12,0
117,89.99291,-0.059440885,12,0
118,90.45903,-0.05944086,12,0
119,91.321434,-0.059440836,12,0
120,92.713196,-0.059440807,12,0
121,92.84758,-0.059440777,12,0
122,92.89547,-0.05944074,12,0
123,93.84227,-0.059440706,12,0
124,94.95047,-0.05944067,12,0
125,96.25606,-0.059440657,12,0
126,96.40027,-0.07656187,12,0
127,96.81481,-0.07339892,12,0
128,98.299286,-0.069843225,12,0
129,100.68986,-0.066712365,12,0
130,105.25955,-0.06431915,12,0
131,106.51177,-0.062639005,12,0
132,107.47192,-0.061520427,12,0
133,108.73805,-0.060799193,12,0
134,109.592476,-0.060341597,12,0
135,109.649376,-0.060052156,12,0
136,109.76411,-0.059867688,12,0
137,109.84476,-0.059748273,12,0
138,110.94143,-0.059669424,12,0
139,111.367645,-0.059616294,12,0
140,112.39254,-0.059579868,12,0
141,112.936356,-0.059554562,12,0
142,112.96685,-0.059536852,12,0
143,114.423676,-0.059524424,12,0
144,115.73586,-0.059515715,12,0
145,116.305954,-0.05950963,12,0
146,116.75773,-0.059505418,12,0
147,118.4036,-0.0595025,12,0
148,119.66871,-0.059500508,12,0
149,119.68964,-0.059499152,12,0
150,120.909096,-0.05949825,12,0
151,121.09167,-0.059497643,12,0
152,121.163086,-0.059497237,12,0
153,121.89398,-0.05949697,12,0
154,122.10801,-0.05949679,12,0
155,123.850334,-0.05949667,12,0
156,124.427505,-0.05949658,12,0
157,125.49823,-0.059496526,12,0
158,125.6286,-0.059496485,12,0
159,125.818825,-0.059496447,12,0
160,127.65397,-0.05949642,12,0
161,129.19032,-0.059496395,12,0
162,130.41837,-0.059496358,12,0
163,131.29156,-0.059496336,12,0
164,132.04776,-0.059496313,12,0
165,132.05994,-0.05949629,12,0
166,134.8475,-0.059496272,12,0
167,135.1746,-0.059496246,12,0
168,136.56248,-0.07653535,12,0
169,137.12688,-0.07334325,12,0
170,137.68596,-0.06976143,12,0
171,138.40857,-0.06660951,12,0
172,138.55502,-0.06420072,12,0
173,138.8603,-0.062509924,12,0
174,141.8256,-0.06138453,12,0
175,141.87146,-0.060659215,12,0
176,142.877,-0.060199346,12,0
177,142.90263,-0.059908755,12,0
178,143.03598,-0.05972375,12,0
179,143.47482,-0.059604123,12,0
180,144.00665,-0.05952522,12,0
181,144.03906,-0.059472114,12,0
182,146.62451,-0.05943572,12,0
183,147.40292,-0.059410453,12,0
184,147.7145,-0.059392776,12,0
185,148.40204,-0.05938037,12,0
186,148.47954,-0.059371687,12,0
187,149.0911,-0.05936563,12,0
188,150.67216,-0.05936142,12,0
189,151.0531,-0.059358526,12,0
190,151.05956,-0.059356537,12,0
191,153.1283,-0.059355184,12,0
192,153.1396,-0.059354264,12,0
193,153.2095,-0.059353646,12,0
194,153.36798,-0.059353236,12,0
195,153.38036,-0.05935297,12,0
196,153.42494,-0.059352793,12,0
197,153.49791,-0.059352674,12,0
198,153.52406,-0.059352607,12,0
199,153.75568,-0.05935256,12,0
200,156.17177,-0.05935254,12,0
201,156.18227,-0.059352525,12,0
202,157.27176,-0.059352513,12,0
203,157.30885,-0.05935249,12,0
204,157.9735,-0.059352476,12,0
205,158.00084,-0.059352458,12,0
206,159.28366,-0.059352443,12,0
207,159.3849,-0.059352417,12,0
208,160.17183,-0.059352387,12,0
209,160.22527,-0.05935235,12,0
210,160.6785,-0.0765446,12,0
211,161.21872,-0.073360786,12,0
212,162.63054,-0.06978569,12,0
213,163.67046,-0.06663919,12,0
214,165.02467,-0.06423463,12,0
215,166.25208,-0.062546946,12,0
216,167.0055,-0.06142371,12,0
217,169.37222,-0.060699817,12,0
218,169.49974,-0.060240828,12,0
219,169.52045,-0.05995073,12,0
220,172.12909,-0.05976601,12,0
221,172.65004,-0.059646532,12,0
222,173.7752,-0.059567716,12,0
223,174.24588,-0.05951464,12,0
224,174.34221,-0.059478264,12,0
225,176.84949,-0.059453007,12,0
226,176.9,-0.059435334,12,0
227,176.97336,-0.05942293,12,0
228,177.07994,-0.05941423,12,0
229,177.24425,-0.059408143,12,0
230,177.28648,-0.05940392,12,0
231,177.3151,-0.059401006,12,0
232,178.01907,-0.059399012,12,0
233,178.26558,-0.059397653,12,0
234,178.61113,-0.059396744,12,0
235,179.4704,-0.059396125,12,0
236,180.24203,-0.059395723,12,0
237,180.24728,-0.059395473,12,0
238,181.31482,-0.059395306,12,0
239,181.34201,-0.0593952,12,0
240,181.47235,-0.05939513,12,0
241,182.6656,-0.059395086,12,0
242,182.86365,-0.059395064,12,0
243,183.6474,-0.05939505,12,0
244,184.09253,-0.05939503,12,0
245,185.00269,-0.05939502,12,0
246,185.09956,-0.059395008,12,0
247,186.21504,-0.059394993,12,0
248,186.5198,-0.059394978,12,0
249,187.31987,-0.05939495,12,0
250,187.90215,-0.05939492,12,0
251,189.98885,-0.05939488,12,0
252,190.16028,-0.07654594,12,0
253,192.11989,-0.07336296,12,0
254,193.37334,-0.06978656,12,0
255,193.4225,-0.066637024,12,0
256,193.94102,-0.06422876,12,0
257,195.28696,-0.062537506,12,0
258,196.3648,-0.06141129,12,0
259,196.47598,-0.060685094,12,0
260,196.49602,-0.060224444,12,0
261,197.81485,-0.059933234,12,0
262,199.0682,-0.059747756,12,0
263,199.40654,-0.0596278,12,0
264,199.8342,-0.059548683,12,0
265,200.14223,-0.059495427,12,0
266,201.74193,-0.05945895,12,0
267,201.87825,-0.059433617,12,0
268,202.03694,-0.05941591,12,0
269,202.04674,-0.05940348,12,0
270,202.28609,-0.059394777,12,0
271,204.14488,-0.05938869,12,0
272,204.16331,-0.05938445,12,0
273,204.21219,-0.05938154,12,0
274,204.2441,-0.05937954,12,0
275,205.04803,-0.059378188,12,0
276,205.64507,-0.059377275,12,0
277,206.5926,-0.059376664,12,0
278,206.66507,-0.059376262,12,0
279,206.69785,-0.059376,12,0
280,206.71318,-0.059375823,12,0
281,207.1555,-0.05937571,12,0
282,207.37837,-0.059375633,12,0
283,207.85497,-0.059375588,12,0
284,208.9351,-0.059375554,12,0
285,209.18394,-0.059375532,12,0
286,209.94785,-0.059375517,12,0
287,210.79678,-0.059375502,12,0
288,211.21016,-0.05937548,12,0
289,211.81578,-0.059375484,12,0
290,212.19926,-0.059375472,12,0
291,213.20306,-0.059375457,12,0
292,213.22932,-0.059375435,12,0
293,213.24182,-0.05937542,12,0
