timestamp,pkt_len,cur_hub,cur_port,path,priority,flow_id,etime
0.023432438772661962,144.26635222813573,23,0,23_0,0,0,0.13884552055517055
0.13884552055517055,128.23391277525002,7,0,23_0-7_0,0,0,0.25425860233767916
0.25425860233767916,58.77028711124862,4,3,23_0-7_0-4_3,0,0,0.36967168412018775
0.36967168412018775,99.51869015855812,1,2,23_0-7_0-4_3-1_2,0,0,0.48508476590269634
0.39741333000254275,66.22095330084335,30,0,30_0,0,4,0.45039009264321744
0.40802072109905596,144.26635222813573,23,0,23_0,0,0,0.510607851319256
0.45039009264321744,162.0220945427088,15,0,30_0-15_0,0,4,0.5033668552838921
0.48508476590269634,176.57221807041978,12,1,23_0-7_0-4_3-1_2-12_1,0,0,0.600497847685205
0.5033668552838921,1.9944979746883278,12,0,30_0-15_0-12_0,0,4,0.5563436179245668
0.510607851319256,128.23391277525002,7,0,23_0-7_0,0,0,0.6131949815394561
0.5563436179245668,73.56647240578316,14,3,30_0-15_0-12_0-14_3,0,4,0.6093203805652414
0.600497847685205,196.28554183255667,15,2,23_0-7_0-4_3-1_2-12_1-15_2,0,0,0.7159109294677135
0.6131949815394561,58.77028711124862,4,3,23_0-7_0-4_3,0,0,0.7157821117596561
0.6243255382427155,66.22095330084335,30,0,30_0,0,4,0.7539432138768826
0.624963029757253,66.22095330084335,30,0,30_0,0,4,0.7555388122566332
0.6352788256496017,10.122276877362443,29,0,29_0,0,1,0.6433766471514917
0.6433766471514917,68.74291053727762,14,0,29_0-14_0,0,1,0.6514744686533817
0.6514744686533817,136.7949284462641,12,2,29_0-14_0-12_2,0,1,0.6595722901552716
0.6595722901552716,3.007254407133103,0,0,29_0-14_0-12_2-0_0,0,1,0.6676701116571616
0.6676701116571616,22.01842137466879,4,0,29_0-14_0-12_2-0_0-4_0,0,1,0.6757679331590516
0.6757679331590516,33.628602969150606,6,3,29_0-14_0-12_2-0_0-4_0-6_3,0,1,0.6838657546609416
0.7157821117596561,99.51869015855812,1,2,23_0-7_0-4_3-1_2,0,0,0.8183692419798562
0.718184624241183,66.22095330084335,30,0,30_0,0,4,0.8143919901812597
0.7539432138768826,162.0220945427088,15,0,30_0-15_0,0,4,0.8835608895110496
0.7555388122566332,162.0220945427088,15,0,30_0-15_0,0,4,0.8851564878908003
0.8100270895284779,144.26635222813573,23,0,23_0,0,0,0.8570433192174768
0.8143919901812597,162.0220945427088,15,0,30_0-15_0,0,4,0.9440096658154268
0.8183692419798562,176.57221807041978,12,1,23_0-7_0-4_3-1_2-12_1,0,0,0.9209563722000562
0.8570433192174768,128.23391277525002,7,0,23_0-7_0,0,0,0.9040595489064757
0.8835608895110496,1.9944979746883278,12,0,30_0-15_0-12_0,0,4,1.0131785651452168
0.8851564878908003,1.9944979746883278,12,0,30_0-15_0-12_0,0,4,1.0147741635249674
0.9040595489064757,58.77028711124862,4,3,23_0-7_0-4_3,0,0,0.9510757785954745
0.9209563722000562,196.28554183255667,15,2,23_0-7_0-4_3-1_2-12_1-15_2,0,0,1.0235435024202562
0.9440096658154268,1.9944979746883278,12,0,30_0-15_0-12_0,0,4,1.073627341449594
0.9510757785954745,99.51869015855812,1,2,23_0-7_0-4_3-1_2,0,0,0.9980920082844734
0.9747684224462752,30.817008130002144,23,0,23_0,0,3,0.9994220289502769
0.9980920082844734,176.57221807041978,12,1,23_0-7_0-4_3-1_2-12_1,0,0,1.0451082379734724
0.9994220289502769,181.06953117054468,7,1,23_0-7_1,0,3,1.0240756354542786
1.0131785651452168,73.56647240578316,14,3,30_0-15_0-12_0-14_3,0,4,1.1427962407793837
1.0147741635249674,73.56647240578316,14,3,30_0-15_0-12_0-14_3,0,4,1.1443918391591343
1.0190799536978292,30.817008130002144,23,0,23_0,0,3,1.163935578634265
1.0240756354542786,167.44796307669645,5,2,23_0-7_1-5_2,0,3,1.0487292419582803
1.034414277969252,131.3293296924122,24,0,24_0,0,2,1.1394777417231818
1.0451082379734724,196.28554183255667,15,2,23_0-7_0-4_3-1_2-12_1-15_2,0,0,1.0921244676624713
1.0487292419582803,48.45604413959321,2,1,23_0-7_1-5_2-2_1,0,3,1.073382848462282
1.073382848462282,187.40700739258054,9,1,23_0-7_1-5_2-2_1-9_1,0,3,1.0980364549662838
1.073627341449594,73.56647240578316,14,3,30_0-15_0-12_0-14_3,0,4,1.203245017083761
1.0742744573081895,144.26635222813573,23,0,23_0,0,0,1.2435505307611114
1.0980364549662838,81.53998326465161,11,3,23_0-7_1-5_2-2_1-9_1-11_3,0,3,1.1226900614702855
1.1160412029552513,144.26635222813573,23,0,23_0,0,0,1.3848083052174474
1.1394777417231818,121.39565171504451,10,1,24_0-10_1,0,2,1.2445412054771117
1.1546084736199644,144.26635222813573,23,0,23_0,0,0,1.5418367386834926
1.163935578634265,181.06953117054468,7,1,23_0-7_1,0,3,1.3087912035707006
1.192025301020936,30.817008130002144,23,0,23_0,0,3,1.6757951091448497
1.202674560628871,30.817008130002144,23,0,23_0,0,3,1.7145599444565243
1.2203813670103345,131.3293296924122,24,0,24_0,0,2,1.31749788838237
1.2435505307611114,128.23391277525002,7,0,23_0-7_0,0,0,1.323165482887958
1.2445412054771117,30.86001769150454,9,2,24_0-10_1-9_2,0,2,1.3496046692310415
1.3087912035707006,167.44796307669645,5,2,23_0-7_1-5_2,0,3,1.4536468285071362
1.31749788838237,121.39565171504451,10,1,24_0-10_1,0,2,1.4146144097544056
1.323165482887958,58.77028711124862,4,3,23_0-7_0-4_3,0,0,1.4027804350148045
